1000 is a False Positive, It has not been inserted
tranquillize is a true negative,it has never been inserted before
murderous is a False Positive, It has not been inserted
indiscretions is a true negative,it has never been inserted before
fares is a True Positive, It had been inserted
credulous is a True Positive, It had been inserted
fable-mongering is a true negative,it has never been inserted before
moorish is a true negative,it has never been inserted before
scimetars is a False Positive, It has not been inserted
scabbards is a true negative,it has never been inserted before
barbarians is a True Positive, It had been inserted
sedentary is a true negative,it has never been inserted before
mealtimes is a False Positive, It has not been inserted
sleeping-time is a true negative,it has never been inserted before
inwards is a True Positive, It had been inserted
residing is a True Positive, It had been inserted
socially is a true negative,it has never been inserted before
inaccessible is a True Positive, It had been inserted
grisly is a True Positive, It had been inserted
missouri is a False Positive, It has not been inserted
logan is a true negative,it has never been inserted before
inclement is a true negative,it has never been inserted before
caved is a true negative,it has never been inserted before
rotation is a False Positive, It has not been inserted
simultaneously is a true negative,it has never been inserted before
vessel’s is a True Positive, It had been inserted
her—say is a true negative,it has never been inserted before
vial is a True Positive, It had been inserted
even—then is a False Positive, It has not been inserted
skysail-poles is a true negative,it has never been inserted before
expatiate is a true negative,it has never been inserted before
standers is a true negative,it has never been inserted before
researches is a true negative,it has never been inserted before
prior is a False Positive, It has not been inserted
progenitors is a True Positive, It had been inserted
builders is a true negative,it has never been inserted before
assertion is a False Positive, It has not been inserted
archæologists is a true negative,it has never been inserted before
astronomical is a True Positive, It had been inserted
stair-like is a False Positive, It has not been inserted
formation is a False Positive, It has not been inserted
edifices is a True Positive, It had been inserted
upliftings is a true negative,it has never been inserted before
astronomers is a True Positive, It had been inserted
wont is a True Positive, It had been inserted
stylites is a true negative,it has never been inserted before
pillar is a True Positive, It had been inserted
summit is a True Positive, It had been inserted
tackle is a True Positive, It had been inserted
stander-of-mast-heads is a true negative,it has never been inserted before
fogs is a True Positive, It had been inserted
frosts is a False Positive, It has not been inserted
standers-of-mast-heads is a true negative,it has never been inserted before
incompetent is a true negative,it has never been inserted before
vendome is a False Positive, It has not been inserted
philippe is a true negative,it has never been inserted before
baltimore is a true negative,it has never been inserted before
hercules’ is a True Positive, It had been inserted
admiral is a True Positive, It had been inserted
gun-metal is a true negative,it has never been inserted before
trafalgar is a False Positive, It has not been inserted
obscured is a True Positive, It had been inserted
befriend is a True Positive, It had been inserted
surmised is a False Positive, It has not been inserted
haze is a False Positive, It has not been inserted
descry is a False Positive, It has not been inserted
obed is a true negative,it has never been inserted before
accountable is a False Positive, It has not been inserted
sea-coast is a True Positive, It had been inserted
cleats is a true negative,it has never been inserted before
fowls is a True Positive, It had been inserted
hen-house is a true negative,it has never been inserted before
descrying is a true negative,it has never been inserted before
ready-manned is a true negative,it has never been inserted before
sun-rise is a True Positive, It had been inserted
sun-set is a true negative,it has never been inserted before
relieving is a True Positive, It had been inserted
tropics is a False Positive, It has not been inserted
stilts is a False Positive, It has not been inserted
colossus is a True Positive, It had been inserted
rhodes is a true negative,it has never been inserted before
indolently is a true negative,it has never been inserted before
trade is a True Positive, It had been inserted
languor is a False Positive, It has not been inserted
uneventfulness is a true negative,it has never been inserted before
invests is a true negative,it has never been inserted before
gazettes is a true negative,it has never been inserted before
extras is a False Positive, It has not been inserted
delude is a False Positive, It has not been inserted
excitements is a True Positive, It had been inserted
securities is a true negative,it has never been inserted before
dinner—for is a true negative,it has never been inserted before
stowed is a True Positive, It had been inserted
immutable is a true negative,it has never been inserted before
whalesmen is a true negative,it has never been inserted before
deplored is a true negative,it has never been inserted before
inhabitiveness is a true negative,it has never been inserted before
breed is a True Positive, It had been inserted
localness is a False Positive, It has not been inserted
pertains is a False Positive, It has not been inserted
hearse is a True Positive, It had been inserted
sentry is a True Positive, It had been inserted
contrivances is a true negative,it has never been inserted before
isolate is a False Positive, It has not been inserted
t’ is a True Positive, It had been inserted
gallant-mast is a true negative,it has never been inserted before
beginner is a False Positive, It has not been inserted
bull’s is a True Positive, It had been inserted
watch-coat is a true negative,it has never been inserted before
thickest is a True Positive, It had been inserted
glued is a True Positive, It had been inserted
fleshy is a true negative,it has never been inserted before
tabernacle is a true negative,it has never been inserted before
perishing is a True Positive, It had been inserted
envelope is a True Positive, It had been inserted
encasing is a true negative,it has never been inserted before
unprovided is a True Positive, It had been inserted
enviable is a true negative,it has never been inserted before
_crow’s-nests_ is a true negative,it has never been inserted before
re-discovery is a true negative,it has never been inserted before
greenland;” is a true negative,it has never been inserted before
circumstantial is a True Positive, It had been inserted
_crow’s-nest_ is a true negative,it has never been inserted before
glacier is a False Positive, It has not been inserted
sleet’s is a False Positive, It has not been inserted
_sleet’s is a true negative,it has never been inserted before
crow’s-nest_ is a true negative,it has never been inserted before
patentee is a False Positive, It has not been inserted
inventors is a true negative,it has never been inserted before
patentees is a False Positive, It has not been inserted
denominate is a true negative,it has never been inserted before
apparatus is a true negative,it has never been inserted before
crow’s-nest is a true negative,it has never been inserted before
side-screen is a true negative,it has never been inserted before
ascend is a True Positive, It had been inserted
trap-hatch is a true negative,it has never been inserted before
telescope is a true negative,it has never been inserted before
conveniences is a True Positive, It had been inserted
rifle is a True Positive, It had been inserted
stray is a True Positive, It had been inserted
narwhales is a true negative,it has never been inserted before
vagrant is a true negative,it has never been inserted before
unicorns is a True Positive, It had been inserted
infesting is a true negative,it has never been inserted before
resistance is a True Positive, It had been inserted
enlarges is a true negative,it has never been inserted before
compass is a True Positive, It had been inserted
counteracting is a true negative,it has never been inserted before
“local is a true negative,it has never been inserted before
attraction” is a true negative,it has never been inserted before
ascribable is a False Positive, It has not been inserted
glacier’s is a true negative,it has never been inserted before
“binnacle is a true negative,it has never been inserted before
deviations,” is a true negative,it has never been inserted before
“azimuth is a true negative,it has never been inserted before
observations,” is a true negative,it has never been inserted before
“approximate is a true negative,it has never been inserted before
errors,” is a true negative,it has never been inserted before
immersed is a False Positive, It has not been inserted
meditations is a True Positive, It had been inserted
case-bottle is a False Positive, It has not been inserted
ignore is a False Positive, It has not been inserted
mittened is a true negative,it has never been inserted before
perches is a False Positive, It has not been inserted
whale-fishers is a true negative,it has never been inserted before
housed is a true negative,it has never been inserted before
greenlandmen is a true negative,it has never been inserted before
disadvantage is a True Positive, It had been inserted
counter-balanced is a true negative,it has never been inserted before
widely is a true negative,it has never been inserted before
seductive is a true negative,it has never been inserted before
fishers is a True Positive, It had been inserted
float is a True Positive, It had been inserted
pastures is a true negative,it has never been inserted before
admit is a True Positive, It had been inserted
revolving is a True Positive, It had been inserted
i—being is a true negative,it has never been inserted before
thought-engendering is a true negative,it has never been inserted before
altitude—how is a true negative,it has never been inserted before
whale-ships’ is a true negative,it has never been inserted before
“keep is a true negative,it has never been inserted before
time.” is a true negative,it has never been inserted before
movingly is a True Positive, It had been inserted
admonish is a True Positive, It had been inserted
ship-owners is a true negative,it has never been inserted before
enlisting is a False Positive, It has not been inserted
vigilant is a True Positive, It had been inserted
fisheries is a true negative,it has never been inserted before
unseasonable is a True Positive, It had been inserted
meditativeness is a False Positive, It has not been inserted
phædon is a true negative,it has never been inserted before
bowditch is a true negative,it has never been inserted before
sunken-eyed is a true negative,it has never been inserted before
platonist is a False Positive, It has not been inserted
monitions is a False Positive, It has not been inserted
unneeded is a true negative,it has never been inserted before
furnishes is a true negative,it has never been inserted before
asylum is a true negative,it has never been inserted before
carking is a true negative,it has never been inserted before
childe is a true negative,it has never been inserted before
harold is a true negative,it has never been inserted before
unfrequently is a true negative,it has never been inserted before
luckless is a True Positive, It had been inserted
ejaculates:— is a true negative,it has never been inserted before
“roll is a False Positive, It has not been inserted
blubber-hunters is a true negative,it has never been inserted before
vain.” is a False Positive, It has not been inserted
upbraiding is a true negative,it has never been inserted before
sufficient is a True Positive, It had been inserted
“interest” is a true negative,it has never been inserted before
platonists is a true negative,it has never been inserted before
vision is a True Positive, It had been inserted
visual is a true negative,it has never been inserted before
opera-glasses is a true negative,it has never been inserted before
monkey,” is a true negative,it has never been inserted before
“we’ve is a true negative,it has never been inserted before
hen’s is a true negative,it has never been inserted before
lulled is a False Positive, It has not been inserted
opium-like is a true negative,it has never been inserted before
listlessness is a true negative,it has never been inserted before
blending is a False Positive, It has not been inserted
cadence is a True Positive, It had been inserted
pervading is a False Positive, It has not been inserted
half-seen is a true negative,it has never been inserted before
dimly-discovered is a true negative,it has never been inserted before
uprising is a true negative,it has never been inserted before
undiscernible is a True Positive, It had been inserted
elusive is a true negative,it has never been inserted before
ebbs is a True Positive, It had been inserted
cranmer’s is a True Positive, It had been inserted
sprinkled is a true negative,it has never been inserted before
pantheistic is a true negative,it has never been inserted before
inscrutable is a True Positive, It had been inserted
tides is a True Positive, It had been inserted
descartian is a true negative,it has never been inserted before
vortices is a False Positive, It has not been inserted
hover is a True Positive, It had been inserted
mid-day is a True Positive, It had been inserted
fairest is a True Positive, It had been inserted
half-throttled is a true negative,it has never been inserted before
pantheists is a true negative,it has never been inserted before
_enter is a True Positive, It had been inserted
all._ is a true negative,it has never been inserted before
cabin-gangway is a true negative,it has never been inserted before
stride is a True Positive, It had been inserted
geological is a true negative,it has never been inserted before
foot-prints—the is a true negative,it has never been inserted before
foot-prints is a true negative,it has never been inserted before
unsleeping is a true negative,it has never been inserted before
ever-pacing is a true negative,it has never been inserted before
dents is a False Positive, It has not been inserted
“d’ye is a true negative,it has never been inserted before
shell is a True Positive, It had been inserted
’twill is a True Positive, It had been inserted
out.” is a true negative,it has never been inserted before
on;—ahab is a true negative,it has never been inserted before
bigotry is a False Positive, It has not been inserted
halt is a True Positive, It had been inserted
inserting is a False Positive, It has not been inserted
auger-hole is a true negative,it has never been inserted before
“sir!” is a true negative,it has never been inserted before
“send is a true negative,it has never been inserted before
aft,” is a true negative,it has never been inserted before
“mast-heads is a true negative,it has never been inserted before
down!” is a False Positive, It has not been inserted
unapprehensive is a true negative,it has never been inserted before
standpoint is a true negative,it has never been inserted before
half-slouched is a true negative,it has never been inserted before
unmindful is a true negative,it has never been inserted before
cautiously is a true negative,it has never been inserted before
vehemently is a true negative,it has never been inserted before
cried:— is a true negative,it has never been inserted before
him!” is a True Positive, It had been inserted
clubbed is a true negative,it has never been inserted before
“good!” is a true negative,it has never been inserted before
animation is a true negative,it has never been inserted before
magnetically is a true negative,it has never been inserted before
“lower is a False Positive, It has not been inserted
boat!” is a true negative,it has never been inserted before
marvelling is a true negative,it has never been inserted before
purposeless is a False Positive, It has not been inserted
half-revolving is a true negative,it has never been inserted before
thus:— is a true negative,it has never been inserted before
mast-headers is a true negative,it has never been inserted before
gold?”—holding is a true negative,it has never been inserted before
sun—“it is a true negative,it has never been inserted before
top-maul.” is a False Positive, It has not been inserted
heighten is a False Positive, It has not been inserted
inarticulate is a true negative,it has never been inserted before
top-maul is a False Positive, It has not been inserted
“whosoever is a true negative,it has never been inserted before
raises is a True Positive, It had been inserted
whosoever is a True Positive, It had been inserted
punctured is a true negative,it has never been inserted before
fluke—look is a true negative,it has never been inserted before
boys!” is a true negative,it has never been inserted before
“huzza is a true negative,it has never been inserted before
huzza!” is a False Positive, It has not been inserted
tarpaulins is a true negative,it has never been inserted before
nailing is a true negative,it has never been inserted before
topmaul is a true negative,it has never been inserted before
specific is a true negative,it has never been inserted before
ahab,” is a true negative,it has never been inserted before
dick.” is a true negative,it has never been inserted before
“moby is a true negative,it has never been inserted before
dick?” is a true negative,it has never been inserted before
tash?” is a False Positive, It has not been inserted
“does is a False Positive, It has not been inserted
fan-tail is a False Positive, It has not been inserted
down?” is a False Positive, It has not been inserted
gay-header is a true negative,it has never been inserted before
too,” is a False Positive, It has not been inserted
three—oh is a true negative,it has never been inserted before
captain,” is a true negative,it has never been inserted before
disjointedly is a False Positive, It has not been inserted
twiske-tee is a true negative,it has never been inserted before
be-twisk is a true negative,it has never been inserted before
him—him—” is a False Positive, It has not been inserted
faltering is a true negative,it has never been inserted before
screwing is a False Positive, It has not been inserted
uncorking is a true negative,it has never been inserted before
bottle—“like is a true negative,it has never been inserted before
“corkscrew!” is a true negative,it has never been inserted before
annual is a True Positive, It had been inserted
sheep-shearing is a True Positive, It had been inserted
fan-tails is a true negative,it has never been inserted before
seen—moby is a False Positive, It has not been inserted
dick—moby is a true negative,it has never been inserted before
dick!” is a true negative,it has never been inserted before
dick—but is a true negative,it has never been inserted before
leg?” is a true negative,it has never been inserted before
hearties is a true negative,it has never been inserted before
heart-stricken is a true negative,it has never been inserted before
razed is a True Positive, It had been inserted
lubber is a True Positive, It had been inserted
day!” is a False Positive, It has not been inserted
measureless is a True Positive, It had been inserted
imprecations is a true negative,it has never been inserted before
norway is a True Positive, It had been inserted
maelstrom is a False Positive, It has not been inserted
perdition’s is a true negative,it has never been inserted before
brave.” is a true negative,it has never been inserted before
aye!” is a False Positive, It has not been inserted
grog is a true negative,it has never been inserted before
market.” is a true negative,it has never been inserted before
hoot is a True Positive, It had been inserted
requirest is a true negative,it has never been inserted before
money’s is a False Positive, It has not been inserted
measurer is a False Positive, It has not been inserted
accountants is a true negative,it has never been inserted before
computed is a true negative,it has never been inserted before
counting-house is a true negative,it has never been inserted before
girdling is a True Positive, It had been inserted
guineas is a False Positive, It has not been inserted
_here!_” is a true negative,it has never been inserted before
smites is a True Positive, It had been inserted
chest,” is a False Positive, It has not been inserted
hollow.” is a true negative,it has never been inserted before
“vengeance is a True Positive, It had been inserted
brute!” is a true negative,it has never been inserted before
smote is a True Positive, It had been inserted
blasphemous.” is a true negative,it has never been inserted before
“hark is a true negative,it has never been inserted before
again—the is a true negative,it has never been inserted before
pasteboard is a true negative,it has never been inserted before
event—in is a true negative,it has never been inserted before
deed—there is a true negative,it has never been inserted before
reasoning is a True Positive, It had been inserted
mouldings is a False Positive, It has not been inserted
unreasoning is a true negative,it has never been inserted before
shoved is a True Positive, It had been inserted
outrageous is a True Positive, It had been inserted
sinewing is a False Positive, It has not been inserted
wreak is a True Positive, It had been inserted
blasphemy is a True Positive, It had been inserted
i’d is a True Positive, It had been inserted
creations is a False Positive, It has not been inserted
confines is a True Positive, It had been inserted
fiends’ is a true negative,it has never been inserted before
glarings is a true negative,it has never been inserted before
doltish is a true negative,it has never been inserted before
reddenest is a true negative,it has never been inserted before
anger-glow is a true negative,it has never been inserted before
unsays is a true negative,it has never been inserted before
incense is a False Positive, It has not been inserted
turkish is a True Positive, It had been inserted
spotted is a False Positive, It has not been inserted
tawn—living is a true negative,it has never been inserted before
leopards—the is a true negative,it has never been inserted before
unrecking is a true negative,it has never been inserted before
unworshipping is a true negative,it has never been inserted before
chilian is a true negative,it has never been inserted before
snorts is a true negative,it has never been inserted before
tost is a true negative,it has never been inserted before
foremast-hand is a true negative,it has never been inserted before
constrainings is a true negative,it has never been inserted before
seize is a True Positive, It had been inserted
speak!—aye is a true negative,it has never been inserted before
_aside_ is a True Positive, It had been inserted
inhaled is a true negative,it has never been inserted before
rebellion.” is a true negative,it has never been inserted before
me!—keep is a true negative,it has never been inserted before
all!” is a true negative,it has never been inserted before
acquiescence is a true negative,it has never been inserted before
invocation is a True Positive, It had been inserted
presaging is a True Positive, It had been inserted
vibrations is a true negative,it has never been inserted before
stubbornness is a True Positive, It had been inserted
admonitions is a true negative,it has never been inserted before
verifications is a true negative,it has never been inserted before
foregoing is a False Positive, It has not been inserted
constrain is a False Positive, It has not been inserted
innermost is a true negative,it has never been inserted before
necessities is a True Positive, It had been inserted
measure!” is a False Positive, It has not been inserted
brimming is a False Positive, It has not been inserted
pewter is a True Positive, It had been inserted
searchingly is a true negative,it has never been inserted before
bloodshot is a true negative,it has never been inserted before
wolves is a True Positive, It had been inserted
leader is a True Positive, It had been inserted
bison is a true negative,it has never been inserted before
snare is a True Positive, It had been inserted
“drink is a False Positive, It has not been inserted
pass!” is a False Positive, It has not been inserted
flagon is a True Positive, It had been inserted
draughts—long is a true negative,it has never been inserted before
satan’s is a true negative,it has never been inserted before
hoof is a True Positive, It had been inserted
spiralizes is a true negative,it has never been inserted before
serpent-snapping is a true negative,it has never been inserted before
drained is a True Positive, It had been inserted
me—here’s is a true negative,it has never been inserted before
gulped is a False Positive, It has not been inserted
“attend is a False Positive, It has not been inserted
braves is a true negative,it has never been inserted before
mustered is a true negative,it has never been inserted before
irons is a True Positive, It had been inserted
fisherman is a False Positive, It has not been inserted
that—ha is a true negative,it has never been inserted before
wer’t is a False Positive, It has not been inserted
vitus’ is a False Positive, It has not been inserted
imp—away is a true negative,it has never been inserted before
ague is a True Positive, It had been inserted
“advance is a true negative,it has never been inserted before
axis.” is a true negative,it has never been inserted before
volition is a true negative,it has never been inserted before
accumulated is a True Positive, It had been inserted
leyden is a False Positive, It has not been inserted
quailed is a true negative,it has never been inserted before
sustained is a true negative,it has never been inserted before
vain!” is a true negative,it has never been inserted before
full-forced is a true negative,it has never been inserted before
electric is a true negative,it has never been inserted before
expired is a True Positive, It had been inserted
appoint is a True Positive, It had been inserted
cupbearers is a False Positive, It has not been inserted
kinsmen is a True Positive, It had been inserted
there—yon is a true negative,it has never been inserted before
noblemen is a true negative,it has never been inserted before
pope is a True Positive, It had been inserted
washes is a True Positive, It had been inserted
tiara is a true negative,it has never been inserted before
ewer is a True Positive, It had been inserted
cardinals is a true negative,it has never been inserted before
seizings is a true negative,it has never been inserted before
harpooneers!” is a true negative,it has never been inserted before
“stab is a true negative,it has never been inserted before
cant is a true negative,it has never been inserted before
goblet is a True Positive, It had been inserted
socket is a true negative,it has never been inserted before
cup-bearers is a true negative,it has never been inserted before
fill!” is a False Positive, It has not been inserted
forthwith is a True Positive, It had been inserted
brimmed is a True Positive, It had been inserted
sockets is a False Positive, It has not been inserted
commend is a True Positive, It had been inserted
chalices is a true negative,it has never been inserted before
bestow is a True Positive, It had been inserted
ratifying is a False Positive, It has not been inserted
deathful is a True Positive, It had been inserted
whaleboat’s is a true negative,it has never been inserted before
bow—death is a true negative,it has never been inserted before
death!” is a True Positive, It had been inserted
maledictions is a True Positive, It had been inserted
quaffed is a true negative,it has never been inserted before
paled is a true negative,it has never been inserted before
shivered is a True Positive, It had been inserted
out_ is a true negative,it has never been inserted before
turbid is a False Positive, It has not been inserted
where’er is a True Positive, It had been inserted
whelm is a True Positive, It had been inserted
track is a true negative,it has never been inserted before
ever-brimming is a False Positive, It has not been inserted
goblet’s is a true negative,it has never been inserted before
rim is a True Positive, It had been inserted
plumbs is a true negative,it has never been inserted before
sun—slow is a False Positive, It has not been inserted
noon—goes is a true negative,it has never been inserted before
wearies is a True Positive, It had been inserted
lombardy is a true negative,it has never been inserted before
flashings is a true negative,it has never been inserted before
dazzlingly is a true negative,it has never been inserted before
confounds is a True Positive, It had been inserted
iron—that is a true negative,it has never been inserted before
know—not is a true negative,it has never been inserted before
too—that is a true negative,it has never been inserted before
jagged is a true negative,it has never been inserted before
galls is a True Positive, It had been inserted
metal is a True Positive, It had been inserted
brain-battering is a true negative,it has never been inserted before
nobly is a True Positive, It had been inserted
spurred is a True Positive, It had been inserted
loveliness is a True Positive, It had been inserted
ne’er is a True Positive, It had been inserted
perception is a False Positive, It has not been inserted
subtly is a True Positive, It had been inserted
malignantly is a True Positive, It had been inserted
night—good is a true negative,it has never been inserted before
_waving is a False Positive, It has not been inserted
window_ is a False Positive, It has not been inserted
cogged is a true negative,it has never been inserted before
ant-hills is a true negative,it has never been inserted before
willed is a True Positive, It had been inserted
mad—starbuck is a true negative,it has never been inserted before
demoniac is a False Positive, It has not been inserted
dismembered is a true negative,it has never been inserted before
and—aye is a False Positive, It has not been inserted
dismember is a true negative,it has never been inserted before
dismemberer is a true negative,it has never been inserted before
fulfiller is a true negative,it has never been inserted before
cricket-players is a true negative,it has never been inserted before
pugilists is a False Positive, It has not been inserted
burkes is a False Positive, It has not been inserted
blinded is a True Positive, It had been inserted
bendigoes is a true negative,it has never been inserted before
schoolboys is a True Positive, It had been inserted
bullies—take is a true negative,it has never been inserted before
pommel is a true negative,it has never been inserted before
_me!_ is a true negative,it has never been inserted before
_ye_ is a true negative,it has never been inserted before
gun is a True Positive, It had been inserted
swerve is a True Positive, It had been inserted
whereon is a True Positive, It had been inserted
grooved is a true negative,it has never been inserted before
unsounded is a True Positive, It had been inserted
gorges is a False Positive, It has not been inserted
rifled is a True Positive, It had been inserted
torrents’ is a true negative,it has never been inserted before
unerringly is a true negative,it has never been inserted before
naught’s is a True Positive, It had been inserted
obstacle is a true negative,it has never been inserted before
it_ is a True Positive, It had been inserted
overmanned is a true negative,it has never been inserted before
insufferable is a true negative,it has never been inserted before
sanity is a True Positive, It had been inserted
drilled is a False Positive, It has not been inserted
nill is a True Positive, It had been inserted
tows is a true negative,it has never been inserted before
horrible is a False Positive, It has not been inserted
cries;—aye is a true negative,it has never been inserted before
democrat is a true negative,it has never been inserted before
office,—to is a true negative,it has never been inserted before
shrivel is a False Positive, It has not been inserted
gold-fish is a true negative,it has never been inserted before
glassy is a True Positive, It had been inserted
heaven-insulting is a true negative,it has never been inserted before
wedge is a true negative,it has never been inserted before
clock’s is a True Positive, It had been inserted
all-controlling is a true negative,it has never been inserted before
forecastle_ is a true negative,it has never been inserted before
whelped is a True Positive, It had been inserted
demigorgon is a true negative,it has never been inserted before
unfaltering is a true negative,it has never been inserted before
shoots is a True Positive, It had been inserted
embattled is a False Positive, It has not been inserted
bantering is a true negative,it has never been inserted before
sternward is a False Positive, It has not been inserted
builded is a True Positive, It had been inserted
gurglings is a False Positive, It has not been inserted
howl is a True Positive, It had been inserted
revellers is a True Positive, It had been inserted
knowledge,—as is a False Positive, It has not been inserted
feed—oh is a true negative,it has never been inserted before
horror’s is a True Positive, It had been inserted
futures is a true negative,it has never been inserted before
fore-top is a true negative,it has never been inserted before
_stubb is a False Positive, It has not been inserted
solus is a True Positive, It had been inserted
brace_ is a true negative,it has never been inserted before
throat!—i’ve is a true negative,it has never been inserted before
ha’s is a true negative,it has never been inserted before
laugh’s is a true negative,it has never been inserted before
comfort’s is a true negative,it has never been inserted before
left—that is a true negative,it has never been inserted before
predestinated is a true negative,it has never been inserted before
mogul is a true negative,it has never been inserted before
twigged is a true negative,it has never been inserted before
it—for is a true negative,it has never been inserted before
_wise_ is a False Positive, It has not been inserted
stubb—that’s is a true negative,it has never been inserted before
title—well is a true negative,it has never been inserted before
carcase is a true negative,it has never been inserted before
leering is a False Positive, It has not been inserted
horribles is a true negative,it has never been inserted before
fa is a True Positive, It had been inserted
lirra is a False Positive, It has not been inserted
skirra is a true negative,it has never been inserted before
out?—giving is a False Positive, It has not been inserted
frigate’s is a False Positive, It has not been inserted
pennant is a true negative,it has never been inserted before
i—fa is a true negative,it has never been inserted before
oh— is a False Positive, It has not been inserted
fleeting is a True Positive, It had been inserted
bubbles is a True Positive, It had been inserted
beaker’s is a true negative,it has never been inserted before
that—who is a true negative,it has never been inserted before
sir—(_aside_ is a true negative,it has never been inserted before
mistaken.—aye is a true negative,it has never been inserted before
job—coming is a true negative,it has never been inserted before
_foresail is a False Positive, It has not been inserted
discovers is a true negative,it has never been inserted before
chorus_ is a False Positive, It has not been inserted
commanded.— is a False Positive, It has not been inserted
1st is a true negative,it has never been inserted before
digestion is a True Positive, It had been inserted
tonic is a true negative,it has never been inserted before
_sings is a True Positive, It had been inserted
follow._ is a True Positive, It had been inserted
spy-glass is a true negative,it has never been inserted before
tubs is a True Positive, It had been inserted
braces is a true negative,it has never been inserted before
harpooner is a true negative,it has never been inserted before
2nd is a true negative,it has never been inserted before
bell-boy is a true negative,it has never been inserted before
blackling is a true negative,it has never been inserted before
that—the is a true negative,it has never been inserted before
hogshead is a True Positive, It had been inserted
_thrusts is a true negative,it has never been inserted before
scuttle_ is a False Positive, It has not been inserted
star-bo-l-e-e-n-s is a true negative,it has never been inserted before
a-h-o-y is a true negative,it has never been inserted before
snoozing is a False Positive, It has not been inserted
maty is a true negative,it has never been inserted before
mogul’s is a true negative,it has never been inserted before
deadening is a true negative,it has never been inserted before
filliping is a true negative,it has never been inserted before
sleep—aye is a true negative,it has never been inserted before
ground-tier is a true negative,it has never been inserted before
butts is a True Positive, It had been inserted
copper-pump is a true negative,it has never been inserted before
lasses is a False Positive, It has not been inserted
way—_that’s_ is a true negative,it has never been inserted before
amsterdam is a False Positive, It has not been inserted
hist is a True Positive, It had been inserted
_sulky is a False Positive, It has not been inserted
sleepy._ is a true negative,it has never been inserted before
wag is a True Positive, It had been inserted
merry’s is a False Positive, It has not been inserted
indian-file is a true negative,it has never been inserted before
double-shuffle is a true negative,it has never been inserted before
springy is a False Positive, It has not been inserted
ice-floors is a true negative,it has never been inserted before
maltese is a False Positive, It has not been inserted
sicilian is a true negative,it has never been inserted before
green!—then is a true negative,it has never been inserted before
long-island is a true negative,it has never been inserted before
sulkies is a true negative,it has never been inserted before
hoe is a true negative,it has never been inserted before
azore is a true negative,it has never been inserted before
_ascending is a true negative,it has never been inserted before
windlass-bitts is a true negative,it has never been inserted before
oaths is a True Positive, It had been inserted
a-plenty_ is a true negative,it has never been inserted before
_dancing_ is a true negative,it has never been inserted before
stig is a true negative,it has never been inserted before
quig is a true negative,it has never been inserted before
fire-flies is a true negative,it has never been inserted before
jinglers is a true negative,it has never been inserted before
say?—there is a true negative,it has never been inserted before
pagoda is a true negative,it has never been inserted before
merry-mad is a False Positive, It has not been inserted
hoop is a True Positive, It had been inserted
jibs is a true negative,it has never been inserted before
_quietly is a False Positive, It has not been inserted
smoking._ is a true negative,it has never been inserted before
humph is a true negative,it has never been inserted before
sweat is a True Positive, It had been inserted
manx is a true negative,it has never been inserted before
will—that’s is a true negative,it has never been inserted before
night-women is a true negative,it has never been inserted before
head-winds is a true negative,it has never been inserted before
christ is a True Positive, It had been inserted
green-skulled is a true negative,it has never been inserted before
ballroom is a true negative,it has never been inserted before
you’re is a True Positive, It had been inserted
3d is a False Positive, It has not been inserted
oh!—whew is a true negative,it has never been inserted before
calm—give is a true negative,it has never been inserted before
tash is a true negative,it has never been inserted before
_they is a True Positive, It had been inserted
darkens—the is a true negative,it has never been inserted before
rises_ is a True Positive, It had been inserted
lascar is a False Positive, It has not been inserted
brahma is a False Positive, It has not been inserted
douse is a False Positive, It has not been inserted
sky-born is a False Positive, It has not been inserted
high-tide is a true negative,it has never been inserted before
ganges is a False Positive, It has not been inserted
showest is a True Positive, It had been inserted
seeva is a true negative,it has never been inserted before
_reclining is a true negative,it has never been inserted before
cap_ is a true negative,it has never been inserted before
waves—the is a true negative,it has never been inserted before
snow’s is a False Positive, It has not been inserted
they’ll is a True Positive, It had been inserted
tassels is a False Positive, It has not been inserted
drown is a True Positive, It had been inserted
chassee is a true negative,it has never been inserted before
earth—heaven is a true negative,it has never been inserted before
it!—as is a true negative,it has never been inserted before
over-arboring is a true negative,it has never been inserted before
_reclining_ is a true negative,it has never been inserted before
lad—fleet is a true negative,it has never been inserted before
interlacings is a true negative,it has never been inserted before
limbs—lithe is a true negative,it has never been inserted before
swayings—coyings—flutterings is a true negative,it has never been inserted before
hip is a True Positive, It had been inserted
satiety is a True Positive, It had been inserted
_nudging_ is a true negative,it has never been inserted before
tahitan is a true negative,it has never been inserted before
mat_ is a true negative,it has never been inserted before
nakedness is a True Positive, It had been inserted
girls!—the is a true negative,it has never been inserted before
heeva-heeva is a False Positive, It has not been inserted
veiled is a True Positive, It had been inserted
palmed is a False Positive, It has not been inserted
tahiti is a true negative,it has never been inserted before
woven is a true negative,it has never been inserted before
wilted is a False Positive, It has not been inserted
me!—not is a true negative,it has never been inserted before
transplanted is a true negative,it has never been inserted before
streams is a True Positive, It had been inserted
pirohitee’s is a true negative,it has never been inserted before
peak is a True Positive, It had been inserted
crags is a true negative,it has never been inserted before
villages?—the is a true negative,it has never been inserted before
spine is a true negative,it has never been inserted before
_leaps is a True Positive, It had been inserted
feet_ is a False Positive, It has not been inserted
swashing is a True Positive, It had been inserted
reefing is a False Positive, It has not been inserted
lunging is a true negative,it has never been inserted before
